,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
0,Aaron Judge,NYY,1.521,1.713,3.24,3.008,2.909,1.998,3.031,-0.146,3.079,179.0,137.0,53.0,372.0,114.0,124.0,12.0,0.331,BAT,BAT,,,,,,,,,,,,,,,,,2,2.0,79.0
1,Shohei Ohtani,LAD,1.459,1.404,3.752,3.223,3.095,1.289,2.365,0.564,0.977,172.0,146.0,55.0,380.0,102.0,109.0,20.0,0.282,BAT,BAT,,,,,,,,,,,,,,,,,1,1.0,101.0
2,Cal Raleigh,SEA,1.184,0.3,1.702,3.762,2.42,2.647,1.833,0.032,-0.524,147.0,110.0,60.0,351.0,125.0,97.0,14.0,0.247,BAT,BAT,,,,,,,,,,,,,,,,,13,29.0,39.0
3,Kyle Schwarber,PHI,1.138,0.212,1.759,3.331,2.163,3.061,2.321,-0.323,-0.824,145.0,111.0,56.0,340.0,132.0,108.0,10.0,0.24,BAT,BAT,,,,,,,,,,,,,,,,,21,20.0,34.0
4,Juan Soto,NYM,0.985,0.521,2.272,1.931,1.301,1.466,3.164,2.159,0.162,152.0,120.0,43.0,303.0,105.0,127.0,38.0,0.263,BAT,BAT,,,,,,,,,,,,,,,,,3,5.0,77.0
5,Pete Alonso,NYM,0.753,1.316,0.392,1.393,1.861,2.707,0.235,-1.121,0.548,170.0,87.0,38.0,327.0,126.0,61.0,1.0,0.272,BAT,BAT,,,,,,,,,,,,,,,,,76,27.0,11.0
6,Junior Caminero,TBR,0.703,0.83,0.734,2.147,1.744,1.762,-0.653,-0.589,0.205,159.0,93.0,45.0,322.0,110.0,41.0,7.0,0.264,BAT,BAT,,,,,,,,,,,,,,,,,16,19.0,36.0
7,Francisco Lindor,NYM,0.666,1.404,2.101,0.639,1.232,0.344,0.412,1.539,0.334,172.0,117.0,31.0,300.0,86.0,65.0,31.0,0.267,BAT,BAT,,,,,,,,,,,,,,,,,42,14.0,22.0
8,Julio Rodriguez,SEA,0.663,1.492,1.474,0.747,1.441,0.876,-0.52,1.45,0.334,174.0,106.0,32.0,309.0,95.0,44.0,30.0,0.267,BAT,BAT,,,,,,,,,,,,,,,,,25,9.0,32.0
9,Jose Ramirez,CLE,0.627,1.227,1.304,0.531,1.185,0.285,0.457,2.691,1.02,168.0,103.0,30.0,298.0,85.0,66.0,44.0,0.283,BAT,BAT,,,,,,,,,,,,,,,,,7,4.0,57.0
