year,round,pick,overall,team,player_name,keeper
2015,1,1,0,Magic Man,Mike Trout,False
2015,1,2,0,NY GMY's,Andrew McCutchen,False
2015,1,3,0,THE  SAUCE,Jose Abreu,False
2015,1,4,0,Fear The Beards,Giancarlo Stanton,False
2015,1,5,0,Buck Showalter,Clayton Kershaw,False
2015,1,6,0,Real Men of Genius,Miguel Cabrera,False
2015,1,7,0,Triple A  Titties ,Paul Goldschmidt,False
2015,1,8,0,Napoli  Headed Hoes,Carlos Gomez,False
2015,1,9,0,Pedroia Owns U,Edwin Encarnacion,False
2015,1,10,0,Harley - Simons Inc.,Robinson Cano,False
2015,1,11,0,Smokin' Bases,Jose Bautista,False
2015,1,12,0,RollieFingers YerMom,Troy Tulowitzki,False
2015,2,1,0,RollieFingers YerMom,Jose Altuve,False
2015,2,2,0,Smokin' Bases,Felix Hernandez,False
2015,2,3,0,Harley - Simons Inc.,Freddie Freeman,False
2015,2,4,0,Pedroia Owns U,Ryan Braun,False
2015,2,5,0,Napoli  Headed Hoes,Yasiel Puig,False
2015,2,6,0,Triple A  Titties ,Max Scherzer,False
2015,2,7,0,Real Men of Genius,Adam Jones,False
2015,2,8,0,Buck Showalter,Chris Sale,False
2015,2,9,0,Fear The Beards,Madison Bumgarner,False
2015,2,10,0,THE  SAUCE,Anthony Rizzo,False
2015,2,11,0,NY GMY's,David Price,False
2015,2,12,0,Magic Man,Hanley Ramirez,False
2015,3,1,0,Magic Man,Adrian Beltre,False
2015,3,2,0,NY GMY's,Josh Donaldson,False
2015,3,3,0,THE  SAUCE,Ian Desmond,False
2015,3,4,0,Fear The Beards,Johnny Cueto,False
2015,3,5,0,Buck Showalter,Bryce Harper,False
2015,3,6,0,Real Men of Genius,Buster Posey,False
2015,3,7,0,Triple A  Titties ,Stephen Strasburg,False
2015,3,8,0,Napoli  Headed Hoes,Jon Lester,False
2015,3,9,0,Pedroia Owns U,Carlos Gonzalez,False
2015,3,10,0,Harley - Simons Inc.,Jacoby Ellsbury,False
2015,3,11,0,Smokin' Bases,Michael Brantley,False
2015,3,12,0,RollieFingers YerMom,Corey Kluber,False
2015,4,1,0,RollieFingers YerMom,Albert Pujols,False
2015,4,2,0,Smokin' Bases,Adrian Gonzalez,False
2015,4,3,0,Harley - Simons Inc.,Corey Dickerson,False
2015,4,4,0,Pedroia Owns U,Evan Longoria,False
2015,4,5,0,Napoli  Headed Hoes,Victor Martinez,False
2015,4,6,0,Triple A  Titties ,Anthony Rendon,False
2015,4,7,0,Real Men of Genius,Justin Upton,False
2015,4,8,0,Buck Showalter,Yoenis Cespedes,False
2015,4,9,0,Fear The Beards,Starling Marte,False
2015,4,10,0,THE  SAUCE,George Springer,False
2015,4,11,0,NY GMY's,Zack Greinke,False
2015,4,12,0,Magic Man,Matt Harvey,False
2015,5,1,0,Magic Man,Cole Hamels,False
2015,5,2,0,NY GMY's,Jose Reyes,False
2015,5,3,0,THE  SAUCE,Jordan Zimmermann,False
2015,5,4,0,Fear The Beards,David Ortiz,False
2015,5,5,0,Buck Showalter,Nelson Cruz,False
2015,5,6,0,Real Men of Genius,Billy Hamilton,False
2015,5,7,0,Triple A  Titties ,Kris Bryant,False
2015,5,8,0,Napoli  Headed Hoes,Brian Dozier,False
2015,5,9,0,Pedroia Owns U,Adam Wainwright,False
2015,5,10,0,Harley - Simons Inc.,Aroldis Chapman,False
2015,5,11,0,Smokin' Bases,Kyle Seager,False
2015,5,12,0,RollieFingers YerMom,Matt Kemp,False
2015,6,1,0,RollieFingers YerMom,Jeff Samardzija,False
2015,6,2,0,Smokin' Bases,Craig Kimbrel,False
2015,6,3,0,Harley - Simons Inc.,James Shields,False
2015,6,4,0,Pedroia Owns U,Dustin Pedroia,False
2015,6,5,0,Napoli  Headed Hoes,Sonny Gray,False
2015,6,6,0,Triple A  Titties ,Chris Carter,False
2015,6,7,0,Real Men of Genius,Ian Kinsler,False
2015,6,8,0,Buck Showalter,Jonathan Lucroy,False
2015,6,9,0,Fear The Beards,Gerrit Cole,False
2015,6,10,0,THE  SAUCE,Chris Davis,False
2015,6,11,0,NY GMY's,Todd Frazier,False
2015,6,12,0,Magic Man,Masahiro Tanaka,False
2015,7,1,0,Magic Man,Joey Votto,False
2015,7,2,0,NY GMY's,Julio Teheran,False
2015,7,3,0,THE  SAUCE,Gio Gonzalez,False
2015,7,4,0,Fear The Beards,Carlos Santana,False
2015,7,5,0,Buck Showalter,Prince Fielder,False
2015,7,6,0,Real Men of Genius,Nolan Arenado,False
2015,7,7,0,Triple A  Titties ,Starlin Castro,False
2015,7,8,0,Napoli  Headed Hoes,Tyson Ross,False
2015,7,9,0,Pedroia Owns U,Jacob deGrom,False
2015,7,10,0,Harley - Simons Inc.,Greg Holland,False
2015,7,11,0,Smokin' Bases,Christian Yelich,False
2015,7,12,0,RollieFingers YerMom,Manny Machado,False
2015,8,1,0,RollieFingers YerMom,Jay Bruce,False
2015,8,2,0,Smokin' Bases,Hisashi Iwakuma,False
2015,8,3,0,Harley - Simons Inc.,Mookie Betts,False
2015,8,4,0,Pedroia Owns U,Michael Wacha,False
2015,8,5,0,Napoli  Headed Hoes,Kole Calhoun,False
2015,8,6,0,Triple A  Titties ,Brandon Moss,False
2015,8,7,0,Real Men of Genius,Mark Melancon,False
2015,8,8,0,Buck Showalter,Jason Kipnis,False
2015,8,9,0,Fear The Beards,Jason Heyward,False
2015,8,10,0,THE  SAUCE,Garrett Richards,False
2015,8,11,0,NY GMY's,Carlos Carrasco,False
2015,8,12,0,Magic Man,Matt Holliday,False
2015,9,1,0,Magic Man,Dee Gordon,False
2015,9,2,0,NY GMY's,Devin Mesoraco,False
2015,9,3,0,THE  SAUCE,Ben Zobrist,False
2015,9,4,0,Fear The Beards,Evan Gattis,False
2015,9,5,0,Buck Showalter,Koji Uehara,False
2015,9,6,0,Real Men of Genius,Alexei Ramirez,False
2015,9,7,0,Triple A  Titties ,Jake Arrieta,False
2015,9,8,0,Napoli  Headed Hoes,Mark Trumbo,False
2015,9,9,0,Pedroia Owns U,Alex Gordon,False
2015,9,10,0,Harley - Simons Inc.,David Wright,False
2015,9,11,0,Smokin' Bases,Hunter Pence,False
2015,9,12,0,RollieFingers YerMom,Marcell Ozuna,False
2015,10,1,0,RollieFingers YerMom,Yan Gomes,False
2015,10,2,0,Smokin' Bases,Alex Wood,False
2015,10,3,0,Harley - Simons Inc.,Salvador Perez,False
2015,10,4,0,Pedroia Owns U,Yadier Molina,False
2015,10,5,0,Napoli  Headed Hoes,Pablo Sandoval,False
2015,10,6,0,Triple A  Titties ,Jorge Soler,False
2015,10,7,0,Real Men of Genius,Trevor Rosenthal,False
2015,10,8,0,Buck Showalter,Ryan Zimmerman,False
2015,10,9,0,Fear The Beards,Kolten Wong,False
2015,10,10,0,THE  SAUCE,Matt Wieters,False
2015,10,11,0,NY GMY's,David Robertson,False
2015,10,12,0,Magic Man,Joc Pederson,False
2015,11,1,0,Magic Man,Doug Fister,False
2015,11,2,0,NY GMY's,Lance Lynn,False
2015,11,3,0,THE  SAUCE,Chris Archer,False
2015,11,4,0,Fear The Beards,Kenley Jansen,False
2015,11,5,0,Buck Showalter,Hyun-Jin Ryu,False
2015,11,6,0,Real Men of Genius,Yordano Ventura,False
2015,11,7,0,Triple A  Titties ,Rusney Castillo,False
