year,team,player_name,position,eligible_slots,pro_team
2015,Pedroia Owns U,Edwin Encarnacion,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",Tor
2015,Pedroia Owns U,Ryan Braun,LF,"OF,RF,UTIL,BE,IL",Mil
2015,Pedroia Owns U,Carlos Gonzalez,2B/SS,"OF,LF,RF,UTIL,BE,IL",Col
2015,Pedroia Owns U,Evan Longoria,SS,"3B,1B/3B,DH,UTIL,BE,IL,IF",TB
2015,Pedroia Owns U,Dustin Pedroia,3B,"2B,2B/SS,UTIL,BE,IL,IF",Bos
2015,Pedroia Owns U,Jacob deGrom,C,"P,SP,BE,IL",NYM
2015,Pedroia Owns U,Michael Wacha,C,"P,SP,BE,IL",StL
2015,Pedroia Owns U,Alex Gordon,2B/SS,"OF,LF,UTIL,BE,IL",KC
2015,Pedroia Owns U,Yadier Molina,1B,"C,UTIL,BE,IL",StL
2015,Pedroia Owns U,Elvis Andrus,OF,"SS,2B/SS,UTIL,BE,IL,IF",Tex
2015,Pedroia Owns U,Matt Carpenter,SS,"2B,3B,2B/SS,1B/3B,UTIL,BE,IL,IF",StL
2015,Pedroia Owns U,Michael Pineda,C,"P,SP,BE,IL",NYY
2015,Pedroia Owns U,Fernando Rodney,RF,"P,RP,BE,IL",ChC
2015,Pedroia Owns U,James Paxton,C,"P,SP,BE,IL",Sea
2015,Pedroia Owns U,Jeurys Familia,RF,"P,RP,BE,IL",NYM
2015,Pedroia Owns U,Kendrys Morales,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",KC
2015,Pedroia Owns U,Nick Martinez,RF,"P,SP,RP,BE,IL",Tex
2015,Pedroia Owns U,Chase Anderson,C,"P,SP,BE,IL",Ari
2015,Pedroia Owns U,Mike Bolsinger,RF,"P,SP,RP,BE,IL",LAD
2015,Pedroia Owns U,Lance McCullers,C,"P,SP,BE,IL",Hou
2015,Pedroia Owns U,Yasmany Tomas,LF,"3B,OF,1B/3B,RF,UTIL,BE,IL,IF",Ari
2015,Pedroia Owns U,Mike Montgomery,C,"P,SP,BE,IL",Sea
2015,Pedroia Owns U,Neil Walker,3B,"2B,2B/SS,UTIL,BE,IL,IF",NYM
2015,Pedroia Owns U,Erasmo Ramirez,RF,"P,SP,RP,BE,IL",TB
2015,Magic Man,Mike Trout,1B/3B,"OF,CF,UTIL,BE,IL",LAA
2015,Magic Man,Adrian Beltre,SS,"3B,1B/3B,UTIL,BE,IL,IF",Tex
2015,Magic Man,Cole Hamels,C,"P,SP,BE,IL",Tex
2015,Magic Man,Masahiro Tanaka,C,"P,SP,BE,IL",NYY
2015,Magic Man,Joey Votto,2B,"1B,1B/3B,UTIL,BE,IL,IF",Cin
2015,Magic Man,Francisco Liriano,C,"P,SP,BE,IL",Pit
2015,Magic Man,Shelby Miller,C,"P,SP,BE,IL",Ari
2015,Magic Man,Russell Martin,1B,"C,UTIL,BE,IL",Tor
2015,Magic Man,Carlos Martinez,C,"P,SP,RP,BE,IL",StL
2015,Magic Man,Robinson Cano,3B,"2B,2B/SS,UTIL,BE,IL,IF",Sea
2015,Magic Man,Noah Syndergaard,C,"P,SP,BE,IL",NYM
2015,Magic Man,Carlos Correa,OF,"SS,2B/SS,UTIL,BE,IL,IF",Hou
2015,Magic Man,Jordan Zimmermann,C,"P,SP,BE,IL",Det
2015,Magic Man,Jason Heyward,LF,"OF,CF,RF,UTIL,BE,IL",ChC
2015,Magic Man,Kevin Gausman,C,"P,SP,RP,BE,IL",Bal
2015,Magic Man,Felix Hernandez,C,"P,SP,BE,IL",Sea
2015,Magic Man,George Springer,LF,"OF,CF,RF,UTIL,BE,IL",Hou
2015,Magic Man,Mitch Moreland,2B,"1B,1B/3B,DH,UTIL,BE,IL,IF",Tex
2015,Magic Man,Curtis Granderson,LF,"OF,RF,UTIL,BE,IL",NYM
2015,Magic Man,Jake Peavy,C,"P,SP,BE,IL",SF
2015,Magic Man,Josh Harrison,LF,"2B,3B,OF,2B/SS,1B/3B,LF,RF,UTIL,BE,IL,IF",Pit
2015,Magic Man,Carlos Beltran,LF,"OF,RF,DH,UTIL,BE,IL",NYY
2015,NY GMY's,Andrew McCutchen,1B/3B,"OF,CF,UTIL,BE,IL",Pit
2015,NY GMY's,David Price,C,"P,SP,BE,IL",Bos
2015,NY GMY's,Josh Donaldson,SS,"3B,1B/3B,UTIL,BE,IL,IF",Tor
2015,NY GMY's,Todd Frazier,SS,"1B,3B,1B/3B,UTIL,BE,IL,IF",ChW
2015,NY GMY's,Carlos Carrasco,C,"P,SP,RP,BE,IL",Cle
2015,NY GMY's,David Robertson,RF,"P,RP,BE,IL",ChW
2015,NY GMY's,Lance Lynn,C,"P,SP,BE,IL",StL
