RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,CG,W,L,SV,ERA,WHIP
1,Harper Barely Know Her,151,104,33,0.582,1287,728,247,2323,779,554,52,0.2849,1794,179,4,138,113,18,4.126,1.303
2,Bel Air GMY's,142,119,27,0.54,1220,699,183,2080,649,549,138,0.2579,1831,151,5,129,96,70,3.901,1.25
3,Napoli Headed Hoes,132,122,34,0.517,1297,726,204,2206,647,502,61,0.2846,1570,126,3,99,98,81,4.084,1.277
4,Sale For The Title,131,129,28,0.503,1230,673,229,2167,718,497,36,0.2614,1732,132,3,105,99,59,4.051,1.239
5,Smokin' Bases,130,128,30,0.503,1226,712,202,2098,661,552,95,0.2675,1603,112,3,93,93,81,4.316,1.377
6,Rum Springer,127,127,34,0.5,1232,690,240,2208,692,416,57,0.2705,1810,145,4,103,116,58,4.257,1.291
7,Delray Beach Air Biscuits,131,131,26,0.5,1306,750,221,2313,704,479,103,0.2901,1365,99,0,94,91,95,4.504,1.333
8,Jobu's VooDoo Project,128,136,24,0.486,1341,704,193,2238,613,458,110,0.2856,1410,114,2,82,86,76,4.451,1.37
9,Buck Showalter,111,148,29,0.436,1268,711,200,2135,656,444,102,0.2688,1442,138,7,113,94,82,4.051,1.263
10,Teheran It Up,113,152,23,0.432,1127,622,177,1931,596,480,63,0.2671,1493,140,8,100,97,54,4.142,1.289
