RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,CG,W,L,SV,ERA,WHIP,AVG_note
1,Smokin' Bases,146,111,31,0.561,1270,728,253,2325,737,485,88,6.3184,1494,129,3,93,76,53,2.176,0.967,corrupted_in_source
2,Buck Showalter,139,109,40,0.552,1195,649,182,2020,603,482,106,5.5324,1560,120,4,94,95,76,4.168,1.253,corrupted_in_source
3,Harper Barely Know Her,138,117,33,0.536,1155,647,215,2079,716,568,36,6.7941,1793,160,4,132,107,1,6.178,1.754,corrupted_in_source
4,Magic Man,134,124,30,0.517,1314,733,214,2253,686,501,94,7.1027,1699,131,1,115,88,77,3.642,1.088,corrupted_in_source
5,Bel Air GMY's,127,124,37,0.505,1255,710,187,2121,643,460,108,6.1823,1698,119,3,121,109,65,5.18,1.326,corrupted_in_source
6,Jobu's VooDoo Project,127,129,32,0.497,1279,720,185,2174,625,505,89,6.1196,2047,157,6,125,100,58,4.571,1.264,corrupted_in_source
7,Delray Beach Air Biscuits,122,131,35,0.484,1276,665,165,2074,621,507,81,5.9626,1374,104,4,82,87,80,6.0,1.424,corrupted_in_source
8,Dirty Sanchez,117,138,33,0.464,1150,643,199,2040,650,445,59,6.6092,1623,131,1,94,99,29,3.072,0.862,corrupted_in_source
9,Sale For The Title,114,142,32,0.451,1220,651,177,2038,651,527,41,6.1307,1609,132,3,97,105,69,5.063,1.516,corrupted_in_source
10,Napoli Headed Hoes,110,149,29,0.432,1184,637,194,2050,670,475,77,5.6651,1348,100,0,78,89,107,3.942,1.489,corrupted_in_source
