RK,Team,W,L,T,PCT,H,R,HR,TB,RBI,BB,SB,AVG,K,QS,W,L,SV,HD,ERA,WHIP
1,Daisy + Shay Bel-Airs,157,112,19,0.578,1237,691,210,2167,732,458,143,0.2615,1610,132,109,79,27,8,3.507,1.17
2,The Basitt Hounds,157,113,18,0.576,1155,696,236,2129,674,465,58,0.2552,1599,129,118,84,5,46,3.792,1.22
3,Cream City Cowtippers,148,110,30,0.566,1319,681,196,2204,676,486,67,0.2631,1842,138,140,85,53,32,3.223,1.136
4,Smokin' Bases,133,126,29,0.512,1249,694,164,2028,615,506,75,0.2644,1643,109,92,106,74,11,4.157,1.28
5,Wander Vision,140,133,15,0.512,1238,674,195,2123,654,461,95,0.2571,1474,114,99,80,49,41,3.762,1.193
6,The G.O.A.T,135,137,16,0.497,1164,646,192,2017,678,420,102,0.2556,1564,124,102,96,66,30,3.72,1.158
7,MOArch Redbirds,129,136,23,0.488,1217,630,198,2110,642,502,49,0.2631,1503,109,99,81,62,30,3.596,1.151
8,Buck Showalter,121,137,30,0.472,1128,657,176,1941,595,537,58,0.2485,1680,128,99,108,60,1,3.655,1.19
9,Delray Beach Air Biscuits,113,151,24,0.434,1229,690,170,2020,640,488,69,0.2676,1406,96,93,93,84,16,3.948,1.227
10,Lisa dANN,92,170,26,0.365,1142,590,149,1863,567,390,62,0.2568,1350,98,88,84,50,26,3.704,1.222
