year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2023,1,Cream City Cowtippers,Delray Beach Air Biscuits,7,8,1,91.0,0,61.0,1,13.0,1,155.0,1,54.0,1,55.0,1,8.0,-1,0.28,1,103.0,-1,8.0,1,8.0,-1,7.0,-1,1.0,-1,0.0,-1,4.04610951,-1,1.25360231,-1
2023,1,Delray Beach Air Biscuits,Cream City Cowtippers,8,7,1,91.0,0,51.0,-1,6.0,-1,138.0,-1,32.0,-1,27.0,-1,15.0,1,0.27743902,-1,114.0,1,7.0,-1,9.0,1,5.0,1,5.0,1,1.0,1,3.0375,1,1.10625,1
2023,1,MOArch Redbirds,Buck Showalter,14,2,0,91.0,1,47.0,-1,15.0,1,149.0,1,58.0,1,55.0,1,3.0,-1,0.29166667,1,115.0,1,6.0,1,9.0,1,7.0,1,4.0,1,3.0,1,4.03353659,1,1.31707317,1
2023,1,Buck Showalter,MOArch Redbirds,2,14,0,89.0,-1,50.0,1,11.0,-1,142.0,-1,39.0,-1,37.0,-1,5.0,1,0.26888218,-1,109.0,-1,5.0,-1,5.0,-1,9.0,-1,3.0,-1,0.0,-1,6.46796657,-1,1.50417827,-1
2023,1,Daisy + Shay Bel-Airs,Soto Baggins,4,11,1,98.0,1,45.0,-1,11.0,-1,158.0,1,47.0,-1,43.0,-1,8.0,0,0.30153846,1,123.0,-1,7.0,-1,9.0,-1,10.0,-1,4.0,1,0.0,-1,4.12105263,-1,1.38947368,-1
2023,1,Soto Baggins,Daisy + Shay Bel-Airs,11,4,1,84.0,-1,52.0,1,15.0,1,143.0,-1,50.0,1,53.0,1,8.0,0,0.25531915,-1,154.0,1,10.0,1,14.0,1,4.0,1,1.0,-1,6.0,1,2.92610837,1,1.10098522,1
2023,1,Smokin' Bases,Lisa dANN,9,6,1,114.0,1,62.0,1,20.0,1,194.0,1,68.0,1,32.0,1,7.0,0,0.33827893,1,96.0,-1,2.0,-1,4.0,-1,6.0,1,3.0,-1,1.0,1,5.66292135,-1,1.6741573,-1
2023,1,Lisa dANN,Smokin' Bases,6,9,1,83.0,-1,44.0,-1,11.0,-1,129.0,-1,36.0,-1,27.0,-1,7.0,0,0.24057971,-1,104.0,1,7.0,1,7.0,1,7.0,-1,4.0,1,0.0,-1,3.38675958,1,1.2543554,1
2023,1,The G.O.A.T,Goldschmidt Happens,10,6,0,92.0,1,46.0,-1,14.0,1,162.0,1,49.0,1,33.0,-1,7.0,-1,0.27462687,1,135.0,1,7.0,1,8.0,1,4.0,1,7.0,1,0.0,-1,3.75443787,-1,1.31360947,-1
2023,1,Goldschmidt Happens,The G.O.A.T,6,10,0,71.0,-1,51.0,1,9.0,-1,111.0,-1,31.0,-1,46.0,1,13.0,1,0.22829582,-1,110.0,-1,6.0,-1,6.0,-1,6.0,-1,4.0,-1,4.0,1,3.26174497,1,1.12751678,1
2023,2,Delray Beach Air Biscuits,Buck Showalter,4,11,1,56.0,-1,39.0,-1,8.0,1,88.0,1,29.0,1,20.0,-1,11.0,1,0.2629108,-1,74.0,-1,5.0,-1,4.0,-1,5.0,-1,4.0,0,0.0,-1,5.07920792,-1,1.38118812,-1
2023,2,Buck Showalter,Delray Beach Air Biscuits,11,4,1,60.0,1,42.0,1,4.0,-1,85.0,-1,27.0,-1,29.0,1,2.0,-1,0.27149321,1,83.0,1,8.0,1,5.0,1,2.0,1,4.0,0,1.0,1,3.92727273,1,1.33090909,1
2023,2,Soto Baggins,Cream City Cowtippers,5,10,1,48.0,-1,29.0,-1,9.0,-1,89.0,-1,23.0,-1,36.0,1,1.0,-1,0.23076923,-1,89.0,1,6.0,0,4.0,1,5.0,-1,0.0,-1,4.0,1,3.53164557,1,1.26582278,-1
2023,2,Cream City Cowtippers,Soto Baggins,10,5,1,70.0,1,46.0,1,12.0,1,122.0,1,49.0,1,27.0,-1,6.0,1,0.32258065,1,76.0,-1,6.0,0,3.0,-1,4.0,1,3.0,1,0.0,-1,3.89423077,-1,1.13942308,1
