Name,Team,espn_id,H,AVG,HR,TB,BB,R,RBI,SB
Shohei Ohtani,LAD,39832,171.0,0.287,50.0,363.0,97.0,131.0,109.0,23.0
Aaron Judge,NYY,33192,170.0,0.309,53.0,362.0,126.0,133.0,126.0,11.0
Juan Soto,NYM,36969,156.0,0.276,43.0,314.0,137.0,119.0,110.0,19.0
Bobby Witt Jr.,KC,42403,189.0,0.303,30.0,337.0,49.0,108.0,97.0,37.0
Jose Ramirez,CLE,32801,168.0,0.281,31.0,303.0,63.0,102.0,90.0,42.0
Kyle Tucker,LAD,34967,142.0,0.269,31.0,267.0,83.0,97.0,88.0,25.0
Ronald Acuna Jr.,ATL,36185,161.0,0.297,32.0,285.0,97.0,115.0,70.0,15.0
Ketel Marte,ARI,32512,147.0,0.291,29.0,264.0,65.0,93.0,81.0,6.0
Cal Raleigh,SEA,41292,136.0,0.237,45.0,293.0,83.0,103.0,115.0,13.0
Fernando Tatis Jr.,SD,35983,160.0,0.271,27.0,277.0,73.0,107.0,76.0,28.0
Junior Caminero,TB,4905921,159.0,0.261,37.0,301.0,43.0,90.0,105.0,6.0
Corbin Carroll,ARI,42404,143.0,0.26,28.0,283.0,64.0,107.0,77.0,33.0
Gunnar Henderson,BAL,42507,164.0,0.273,25.0,282.0,65.0,102.0,84.0,25.0
Kyle Schwarber,PHI,33712,138.0,0.238,43.0,293.0,109.0,107.0,119.0,8.0
Manny Machado,SD,31097,165.0,0.275,29.0,283.0,51.0,88.0,101.0,13.0
Julio Rodriguez,SEA,41044,172.0,0.273,29.0,291.0,43.0,105.0,95.0,30.0
Vladimir Guerrero Jr.,TOR,35002,180.0,0.3,26.0,294.0,76.0,96.0,92.0,6.0
William Contreras,MIL,39895,154.0,0.277,18.0,242.0,79.0,95.0,83.0,6.0
Alex Bregman,CHC,34886,146.0,0.265,25.0,254.0,61.0,83.0,82.0,1.0
Yordan Alvarez,HOU,36018,146.0,0.296,30.0,268.0,74.0,76.0,89.0,3.0
Jackson Chourio,MIL,4917869,163.0,0.275,23.0,274.0,39.0,100.0,89.0,25.0
Mookie Betts,LAD,33039,151.0,0.272,21.0,246.0,67.0,96.0,87.0,9.0
Brent Rooker,OAK,40926,158.0,0.268,34.0,299.0,63.0,87.0,95.0,6.0
Nico Hoerner,CHC,41219,168.0,0.281,7.0,225.0,41.0,85.0,56.0,29.0
Francisco Lindor,NYM,32129,149.0,0.263,27.0,264.0,57.0,102.0,81.0,27.0
Cody Bellinger,NYY,33912,145.0,0.262,27.0,258.0,47.0,82.0,86.0,11.0
Steven Kwan,CLE,41996,170.0,0.276,9.0,232.0,60.0,87.0,54.0,21.0
Roman Anthony,BOS,5080767,156.0,0.294,17.0,253.0,104.0,97.0,65.0,11.0
Elly De La Cruz,CIN,4917694,161.0,0.258,25.0,283.0,67.0,105.0,86.0,43.0
Jarren Duran,BOS,41610,164.0,0.267,17.0,287.0,58.0,93.0,82.0,24.0
Jose Altuve,HOU,31662,153.0,0.266,21.0,244.0,53.0,84.0,71.0,11.0
Ben Rice,NYY,5016968,128.0,0.26,30.0,254.0,50.0,82.0,75.0,3.0
Maikel Garcia,KC,4905884,159.0,0.278,12.0,237.0,54.0,79.0,61.0,23.0
George Springer,TOR,32078,139.0,0.269,24.0,238.0,62.0,93.0,72.0,17.0
Geraldo Perdomo,ARI,41355,154.0,0.274,13.0,232.0,81.0,89.0,69.0,22.0
Jazz Chisholm Jr.,NYY,41433,125.0,0.247,31.0,240.0,53.0,80.0,84.0,32.0
