Name,Team,espn_id,WHIP,ERA,K,SV,W,L,HD,QS
Shohei Ohtani,LAD,39832,1.04,3.25,184.0,22.0,11.0,5.0,0.0,17.0
Paul Skenes,PIT,4719507,1.0,2.61,220.0,2.0,16.0,5.0,0.0,27.0
Tarik Skubal,DET,42409,0.94,2.73,253.0,3.0,17.0,5.0,0.0,26.0
Garrett Crochet,BOS,4297835,1.07,3.26,251.0,6.0,16.0,7.0,0.0,21.0
Cristopher Sanchez,PHI,42359,1.09,3.06,199.0,6.0,15.0,7.0,0.0,23.0
Logan Gilbert,SEA,41221,1.04,3.54,211.0,11.0,13.0,7.0,0.0,19.0
Yoshinobu Yamamoto,LAD,4872587,1.09,3.21,190.0,5.0,14.0,5.0,0.0,20.0
Bryan Woo,SEA,4629089,1.03,3.44,177.0,2.0,13.0,7.0,0.0,20.0
Logan Webb,SF,41216,1.16,3.31,191.0,2.0,14.0,8.0,0.0,22.0
Hunter Brown,HOU,4717803,1.16,3.46,192.0,2.0,13.0,7.0,0.0,20.0
Max Fried,NYY,32685,1.14,3.18,173.0,7.0,15.0,5.0,0.0,21.0
Chris Sale,ATL,30948,1.07,3.22,188.0,3.0,12.0,5.0,0.0,18.0
Joe Ryan,MIN,42450,1.1,3.77,191.0,1.0,11.0,8.0,0.0,17.0
Jesus Luzardo,PHI,39667,1.18,3.7,219.0,5.0,13.0,8.0,0.0,19.0
Jacob deGrom,TEX,32796,1.06,3.54,172.0,3.0,11.0,7.0,0.0,17.0
Mason Miller,SD,4730225,0.98,3.14,100.0,3.0,4.0,3.0,39.0,0.0
George Kirby,SEA,42406,1.1,3.72,172.0,3.0,12.0,7.0,0.0,18.0
Freddy Peralta,NYM,39825,1.19,3.63,200.0,6.0,13.0,7.0,0.0,19.0
Cade Smith,CLE,4987924,1.0,2.8,99.0,2.0,5.0,3.0,40.0,0.0
Cole Ragans,KC,41054,1.11,3.43,189.0,9.0,10.0,5.0,0.0,17.0
Framber Valdez,DET,36581,1.22,3.5,189.0,11.0,15.0,7.0,0.0,19.0
